t , It
0.016800000000000002 , 0.147606845414852
0.016900000000000002 , 0.146020531378298
0.017 , 0.144160885581429
0.0171 , 0.142035552579809
0.0172 , 0.139652606770040
0.0173 , 0.137020529934395
0.017400000000000002 , 0.134148188278612
0.0175 , 0.131044809016561
0.0176 , 0.127719956555649
0.0177 , 0.124183508336869
0.0178 , 0.120445630383349
0.0179 , 0.116516752611063
0.018000000000000002 , 0.112407543955101
0.0181 , 0.108128887364512
0.0182 , 0.103691854718237
0.0183 , 0.0991076817140706
0.0184 , 0.0943877427819166
0.018500000000000003 , 0.0895435260718058
0.018600000000000002 , 0.0845866085662993
0.0187 , 0.0795286313659270
0.0188 , 0.0743812751952816
0.0189 , 0.0691562361762621
0.019 , 0.0638652019137571
0.019100000000000002 , 0.0585198279377897
0.019200000000000002 , 0.0531317145447918
0.0193 , 0.0477123840792671
0.0194 , 0.0422732586956228
0.0195 , 0.0368256386384117
0.0196 , 0.0313806810776364
0.019700000000000002 , 0.0259493795341202
0.0198 , 0.0205425439282593
0.0199 , 0.0151707812837348
0.02 , 0.00984447711598673
0.0201 , 0.00457377753344531
0.020200000000000003 , -0.000631427922329202
0.020300000000000002 , -0.00576152267331261
0.0204 , -0.0108071787160977
0.0205 , -0.0157593714269011
0.0206 , -0.0206093935419397
0.0207 , -0.0253488682965451
0.020800000000000003 , -0.0299697617083337
0.020900000000000002 , -0.0344643939916842
0.021 , -0.0388254500927221
0.0211 , -0.0430459893359402
0.0212 , -0.0471194541755127
0.0213 , -0.0510396780462737
0.021400000000000002 , -0.0548008923112220
0.021500000000000002 , -0.0583977323042938
0.0216 , -0.0618252424689949
0.0217 , -0.0650788805953025
0.0218 , -0.0681545211590465
0.0219 , -0.0710484577697333
0.022000000000000002 , -0.0737574047345003
0.0221 , -0.0762784977475688
0.0222 , -0.0786092937162023
0.0223 , -0.0807477697357715
0.0224 , -0.0826923212280712
0.022500000000000003 , -0.0844417592585296
0.022600000000000002 , -0.0859953070493912
0.0227 , -0.0873525957073438
0.0228 , -0.0885136591853852
0.0229 , -0.0894789285000001
0.023 , -0.0902492252259253
0.023100000000000002 , -0.0908257542919296
0.023200000000000002 , -0.0912100961021175
0.0233 , -0.0914041980082869
0.0234 , -0.0914103651598210
0.0235 , -0.0912312507584822
0.0236 , -0.0908698457462919
0.023700000000000002 , -0.0903294679554296
0.0238 , -0.0896137507497640
0.0239 , -0.0887266311882387
0.024 , -0.0876723377408751
0.0241 , -0.0864553775886249
0.024200000000000003 , -0.0850805235387058
0.024300000000000002 , -0.0835528005873830
0.0244 , -0.0818774721624194
0.0245 , -0.0800600260776134
0.0246 , -0.0781061602319597
0.0247 , -0.0760217680860322
0.024800000000000003 , -0.0738129239481707
0.024900000000000002 , -0.0714858681029795
0.025 , -0.0690469918145044
0.0251 , -0.0665028222362479
0.0252 , -0.0638600072599159
0.0253 , -0.0611253003344608
0.025400000000000002 , -0.0583055452865991
0.025500000000000002 , -0.0554076611735351
0.0256 , -0.0524386271981204
0.0257 , -0.0494054677161284
0.0258 , -0.0463152373647080
0.025900000000000003 , -0.0431750063404294
0.026000000000000002 , -0.0399918458546260
0.0261 , -0.0367728137929834
0.0262 , -0.0335249406055327
0.0263 , -0.0302552154523655
0.0264 , -0.0269705726295136
0.026500000000000003 , -0.0236778782985169
0.026600000000000002 , -0.0203839175422607
0.0267 , -0.0170953817686763
0.0268 , -0.0138188564828924
0.0269 , -0.0105608094473830
0.027 , -0.00732757924859651
0.027100000000000003 , -0.00412536428746206
0.027200000000000002 , -0.000960212210069614
0.0273 , 0.00216199020631212
0.0274 , 0.00523552669784311
0.0275 , 0.00825486067646550
0.027600000000000003 , 0.0112146438982802
0.027700000000000002 , 0.0141097246273912
0.027800000000000002 , 0.0169351552858351
0.0279 , 0.0196861995813855
0.028 , 0.0223583391061988
0.0281 , 0.0249472794004381
0.028200000000000003 , 0.0274489554761785
0.028300000000000002 , 0.0298595367980592
0.0284 , 0.0321754317182970
0.0285 , 0.0343932913648150
0.0286 , 0.0365100129823664
